Layout;Row;Column;Index;Primary;F-shift;G-shift;;Alpha
N43 R;5;5;N43 R.55;÷;[ STAT ];[ SUM ];;R
N43 R;6;1;N43 R.61; f ; ; ;; 
N43 R;6;2;N43 R.62;4;[ BASE ];[ CLK ];;S
N43 R;6;3;N43 R.63;5;[ CONV ];[ UNIT ];;T
N43 R;6;4;N43 R.64;6;[ FLAG ];[ BITS ];;U
N43 R;6;5;N43 R.65;✕;[ PROB ];[ INTS ];;V
N43 R;7;1;N43 R.71; g ; ; ;; 
N43 R;7;2;N43 R.72;1;ASN;[ KEYS ];;W
N43 R;7;3;N43 R.73;2;GTO;[ LOOP ];;X
N43 R;7;4;N43 R.74;3;[ PART ];[ TEST ];;Y
N43 R;7;5;N43 R.75;-;[ FIN ];[ alphaSTR ];;Z
N43 R;8;1;N43 R.81;EXIT;OFF;PRN;; 
N43 R;8;2;N43 R.82;0;VIEW;STOPW;;:
N43 R;8;3;N43 R.83;.;SHOW;[ INFO ];;,
N43 R;8;4;N43 R.84;R/S;PRGM;[ P.FN ];;？
N43 R;8;5;N43 R.85;+;[ CAT ];[ I/O ];;spc
;;;;;;;;
;;;;;;;;
D47;1;1;D47.11;F1;;;;
D47;1;2;D47.12;F2;;;;
D47;1;3;D47.13;F3;;;;
D47;1;4;D47.14;F4;;;;
D47;1;5;D47.15;F4;;;;
D47;1;6;D47.16;F6;;;;
D47;2;1;D47.21;LN;e^x;a b/c;;A
D47;2;2;D47.22;LOG;10^x;#;;B
D47;2;3;D47.23;√x;x^2;.ms;;C
D47;2;4;D47.24;SIN;ASIN;.d;;D
D47;2;5;D47.25;COS;ACOS;->R;;E
D47;2;6;D47.26;TAN;ATAN;->P;;F
D47;3;1;D47.31;STO;->I;%;;G
D47;3;2;D47.32;RCL;|x|;angle;;H
D47;3;3;D47.33;RDN;x√y;R Up;;I
D47;3;4;D47.34;1/x;y^x;pi;;J
D47;3;5;D47.35; f ; ; ;;
D47;3;6;D47.36; g ; ; ;;
D47;4;1;D47.41;ENTER;COMPLEX;[ CPX ];;
D47;4;2;D47.42;x <> y;LASTx;[ STK ];;K
D47;4;3;D47.43;CHS;DRG;[ TRG ];;L
D47;4;4;D47.44;EEX;[ EXP ];[ DISP ];;M
D47;4;5;D47.45;<=;Undo;[ CLR ];;
D47;5;1;D47.51;XEQ;alpha;USER;;
D47;5;2;D47.52;7;GTO;[ HOME ];;N
D47;5;3;D47.53;8;[ EQN ];[ ADV ];;O
D47;5;4;D47.54;9;[ MATX ];[ X.FN ];;P
D47;5;5;D47.55;÷;[ STAT ];[ SUM ];;Q
D47;6;1;D47.61;Up;Scroll Up;REGS;;
D47;6;2;D47.62;4;[ alphaSTR ];[ PART ];;R
D47;6;3;D47.63;5;[ INTS ];[ BITS ];;S
D47;6;4;D47.64;6;[ BASE ];[ FLAG ];;T
D47;6;5;D47.65;✕;[ PROB ];[ FIN ];;U
D47;7;1;D47.71;Dn;Scroll Dn;FLGS;;
D47;7;2;D47.72;1;ASN;[ KEYS ];;V
D47;7;3;D47.73;2;[ SETUP ];[ CLK ];;W
D47;7;4;D47.74;3;[ LOOP ];[ TEST ];;X
D47;7;5;D47.75;-;[ UNIT ];[ CNST ];;Y
D47;8;1;D47.81;EXIT;OFF;PRN;;
D47;8;2;D47.82;0;VIEW;STOPW;;Z
D47;8;3;D47.83;.;SHOW;[ INFO ];;,
D47;8;4;D47.84;R/S;PRGM;[ P.FN ];;？
D47;8;5;D47.85;+;[ CAT ];[ I/O ];;spc
