# src/c47 C file	zig_src owner(s)	kind	via
# Generated by build-correspondence-manifest.py -- do not hand-edit rows
# marked via=symbol; they are recomputed from the export table each run.
mathematics/dblDivision	core/numeric/arithmetic/double_width_command;core/numeric/arithmetic/integer_division_cells	port	symbol
mathematics/dblMultiplication	core/numeric/arithmetic/double_width_command	port	symbol
mathematics/decomp	core/numeric/arithmetic/integer_division_cells;core/numeric/arithmetic/scalar_integer_decomp_command	port	symbol
mathematics/deltaPercent	core/numeric/arithmetic/percent_extended	port	symbol
mathematics/deltaPercentXmean	core/numeric/statistics/deltaPercentXmean	port	symbol
mathematics/division	core/numeric/arithmetic/dispatch_command;core/numeric/arithmetic/division_cells	port	symbol
mathematics/dot	core/numeric/command_wrappers	port	symbol
mathematics/elec	shell/elec;shell/extensions/jm	port	symbol
mathematics/elliptic	core/numeric/special/elliptic	port	symbol
mathematics/erf	core/numeric/special/special_function_erf	port	symbol
mathematics/erfc	core/numeric/special/special_function_erf	port	symbol
mathematics/eulersFormula	core/numeric/special/special_algebraic_command	port	symbol
mathematics/exp	core/numeric/special/transcendental_command	port	symbol
mathematics/expMOne	core/numeric/special/transcendental_command	port	symbol
mathematics/expt	core/numeric/special/exponent_bernoulli_command	port	symbol
mathematics/factorial	core/numeric/special/special_function_factorial	port	symbol
mathematics/fib	core/numeric/special/special_function_fibonacci	port	symbol
mathematics/floor	core/numeric/rounding/integer_part	port	symbol
mathematics/fractionalPart	core/numeric/rounding/integer_part	port	symbol
mathematics/gamma	core/numeric/special/gamma	port	symbol
mathematics/gammaX	core/numeric/special/gammaX	port	symbol
mathematics/gcd	core/numeric/arithmetic/integer_residue_command	port	symbol
mathematics/gd	core/numeric/special/gd	port	symbol
mathematics/idiv	core/numeric/arithmetic/dispatch_command;core/numeric/arithmetic/integer_division_cells	port	symbol
mathematics/idivr	core/numeric/arithmetic/dispatch_command;core/numeric/arithmetic/integer_division_cells	port	symbol
mathematics/imaginaryPart	core/numeric/command_wrappers	port	symbol
mathematics/incDec	core/numeric/arithmetic/increment_decrement_command;core/numeric/compare/register_compare	port	symbol
mathematics/int	core/numeric/compare/check_value	port	symbol
mathematics/integerPart	core/numeric/rounding/integer_part	port	symbol
mathematics/integerPartLonginteger	core/numeric/rounding/integer_part	port	symbol
mathematics/integerPartShortinteger	core/numeric/rounding/integer_part	port	symbol
mathematics/invert	core/numeric/arithmetic/invert_command	port	symbol
mathematics/iteration	core/numeric/iteration	port	symbol
mathematics/ixyz	core/numeric/special/special_function_ixyz	port	symbol
mathematics/lcm	core/numeric/arithmetic/integer_residue_command	port	symbol
mathematics/linpol	core/numeric/command_wrappers;core/numeric/matrix/vector_linpol_compute;core/numeric/matrix/vector_linpol_pipeline	port	symbol
mathematics/ln	core/numeric/ln_complex;core/numeric/special/transcendental_command	port	symbol
mathematics/lnPOne	core/numeric/special/transcendental_command	port	symbol
mathematics/lnbeta	core/numeric/special/lnbeta	port	symbol
mathematics/log10	core/numeric/command_wrappers;core/numeric/powerlog/logxy_command;core/numeric/powerlog/powlog_log	port	symbol
mathematics/log2	core/numeric/powerlog/powlog_log	port	symbol
mathematics/logxy	core/numeric/powerlog/logxy_command	port	symbol
mathematics/magnitude	core/numeric/command_wrappers;core/numeric/command_wrappers/helpers	port	symbol
mathematics/mant	core/numeric/rounding/scalar_integer_precision	port	symbol
mathematics/matrix	core/numeric/matrix/arithmetic;core/numeric/matrix/column_commands;core/numeric/matrix/complex_core;core/numeric/matrix/complex_lu;core/numeric/matrix/coordinate_conversions;core/numeric/matrix/cross;core/numeric/matrix/delete;core/numeric/matrix/determinant;core/numeric/matrix/determinant_command;core/numeric/matrix/dimension_arg;core/numeric/matrix/divide_matrices;core/numeric/matrix/divide_scalar;core/numeric/matrix/dot;core/numeric/matrix/eigen;core/numeric/matrix/elementwise;core/numeric/matrix/euclidean_norm;core/numeric/matrix/euclidean_norm_command;core/numeric/matrix/get_dimensions_command;core/numeric/matrix/identity_command;core/numeric/matrix/index_command;core/numeric/matrix/insert;core/numeric/matrix/invert;core/numeric/matrix/invert_command;core/numeric/matrix/lifecycle;core/numeric/matrix/linear_eqn;core/numeric/matrix/lu_command;core/numeric/matrix/mim_commands;core/numeric/matrix/named;core/numeric/matrix/new_command;core/numeric/matrix/product;core/numeric/matrix/qr_command;core/numeric/matrix/real_lu;core/numeric/matrix/register_link;core/numeric/matrix/register_memory;core/numeric/matrix/set_dimensions_command;core/numeric/matrix/stats;core/numeric/matrix/swap;core/numeric/matrix/transpose_command;core/numeric/matrix/vector3d;core/numeric/matrix/vector_angle;core/numeric/matrix/vector_angle_command;core/numeric/matrix/vector_helpers	port	symbol
mathematics/max	core/numeric/rounding/integer_part	port	symbol
mathematics/mean	core/numeric/statistics/mean	port	symbol
mathematics/median	core/numeric/statistics/median	port	symbol
mathematics/min	core/numeric/rounding/integer_part	port	symbol
mathematics/minusOnePow	core/numeric/special/special_algebraic_command	port	symbol
mathematics/modulo	core/numeric/arithmetic/integer_residue_command	port	symbol
mathematics/multiplication	core/numeric/arithmetic/dispatch_command;core/numeric/arithmetic/multiplication_cells	port	symbol
mathematics/neighb	core/numeric/arithmetic/integer_residue_command	port	symbol
mathematics/opmod	core/numeric/number_theory/opmod	port	symbol
mathematics/ortho_polynom	core/numeric/special/ortho_polynom	port	symbol
mathematics/parallel	core/numeric/transform/transform_parallel_command	port	symbol
mathematics/pcg_basic	core/numeric/random/random_primitives	port	symbol
mathematics/percent	core/numeric/arithmetic/percent_base	port	symbol
mathematics/percentMRR	core/numeric/arithmetic/percent_extended	port	symbol
mathematics/percentPlusMG	core/numeric/arithmetic/percent_extended	port	symbol
mathematics/percentSigma	core/numeric/arithmetic/percentSigma	port	symbol
mathematics/percentSigmaDeltaPercentXmean	core/numeric/arithmetic/percentSigmaDeltaPercentXmean	port	symbol
mathematics/percentT	core/numeric/arithmetic/percent_extended	port	symbol
mathematics/power	core/numeric/powerlog/power	port	symbol
mathematics/prime	core/numeric/number_theory/prime	port	symbol
mathematics/random	core/numeric/command_wrappers;core/numeric/random/random_integer;core/numeric/random/random_primitives;core/numeric/random/random_real;core/numeric/random/random_seed	port	symbol
mathematics/rdp	core/numeric/rounding/rdp	port	symbol
mathematics/reToCx	core/numeric/transform/retocx	port	symbol
mathematics/realPart	core/numeric/command_wrappers	port	symbol
mathematics/remainder	core/numeric/arithmetic/integer_residue_command	port	symbol
mathematics/round	core/numeric/arithmetic/integer_division_cells;core/numeric/command_wrappers	port	symbol
mathematics/roundi	core/numeric/rounding/scalar_integer_precision	port	symbol
mathematics/rsd	core/numeric/rounding/rsd	port	symbol
mathematics/shiftDigits	core/numeric/arithmetic/shift_digits_command	port	symbol
mathematics/sign	core/numeric/arithmetic/sign_command	port	symbol
mathematics/sin	core/numeric/trig/circular_trig_command;core/numeric/trig/trig_complex_primitives	port	symbol
mathematics/sinc	core/numeric/command_wrappers;core/numeric/special/sinc_command	port	symbol
mathematics/sincpi	core/numeric/command_wrappers;core/numeric/special/sinc_command	port	symbol
mathematics/sinh	core/numeric/trig/circular_trig_command;core/numeric/trig/real_trig;core/numeric/trig/trig_complex_primitives	port	symbol
mathematics/slvc	core/numeric/slvc	port	symbol
mathematics/slvq	core/numeric/slvq	port	symbol
mathematics/sqrt1Px2	core/numeric/special/special_algebraic_command	port	symbol
mathematics/square	core/numeric/transform/transform_power_command	port	symbol
mathematics/squareRoot	core/numeric/transform/transform_complex_helpers;core/numeric/transform/transform_root_command	port	symbol
mathematics/subtraction	core/numeric/arithmetic/dispatch_command;core/numeric/arithmetic/subtraction_cells	port	symbol
mathematics/swapRealImaginary	core/numeric/command_wrappers	port	symbol
mathematics/tan	core/numeric/trig/circular_trig_command;core/numeric/trig/trig_complex_primitives	port	symbol
mathematics/tanh	core/numeric/trig/circular_trig_command;core/numeric/trig/real_trig;core/numeric/trig/trig_complex_primitives	port	symbol
mathematics/toPolar	core/numeric/transform/transform_complex_helpers;core/numeric/transform/transform_polar_rect_command	port	symbol
mathematics/toRect	core/numeric/transform/transform_complex_helpers;core/numeric/transform/transform_polar_rect_command	port	symbol
mathematics/ulp	core/numeric/rounding/scalar_integer_precision	port	symbol
mathematics/unitVector	core/numeric/transform/transform_complex_helpers;core/numeric/transform/transform_unit_vector_command	port	symbol
mathematics/variance	core/numeric/statistics/variance	port	symbol
mathematics/w_inverse	core/numeric/special/lambertw_command	port	symbol
mathematics/w_negative	core/numeric/special/lambertw_command	port	symbol
mathematics/w_positive	core/numeric/special/lambertw_command	port	symbol
mathematics/wp34s	core/numeric/special/wp34s;core/numeric/special/wp34s_trig;core/numeric/trig/wp34s_atan	port	symbol
mathematics/xfn	core/numeric/special/xfn	port	symbol
mathematics/xthRoot	core/numeric/powerlog/xthroot	port	symbol
mathematics/zeta	core/numeric/special/zeta	port	symbol
memory	core/memory/memory;core/memory/memory_c47_alloc;core/memory/memory_debug;core/memory/memory_gmp_alloc;core/memory/memory_resize_program	port	symbol
plotstat	core/text/display_string_transform;frontier;shell/plot/plot_regression;shell/plot/plotstat	port	symbol
printing/print	frontier;shell/matrix_editor/matrix_nav;shell/print/print;shell/print/print_all_regs;shell/print/print_register;shell/print/printer_char_map;shell/print/printer_glyph_search	port	symbol
programming/clcvar	shell/program/clcvar	port	symbol
programming/decode	shell/program/decode	port	symbol
programming/input	shell/display/input	port	symbol
programming/lblGtoXeq	shell/program/lbl_gto_xeq	port	symbol
programming/manage	core/program/program_serialization_io;shell/program/manage;shell/program/program_clear;shell/program/program_step_opcode	port	symbol
programming/nextStep	shell/program/next_step;shell/program/program_step_width	port	symbol
programming/programmableMenu	shell/program/programmable_menu	port	symbol
realType	core/state/value/real_special_values;core/state/value/register_conversions	port	symbol
recall	shell/recall	port	symbol
registerValueConversions	core/state/value/register_conversions;shell/register_value_conversions	port	symbol
registers	core/state/register_metadata;core/state/register_metadata/register_metadata_descriptor;core/state/register_metadata/register_metadata_local_registers;core/state/register_metadata/register_metadata_payload;core/state/register_metadata/register_metadata_reallocate;core/state/register_metadata/register_metadata_variables;core/state/register_metadata/registers_compat_exports;core/state/runtime/register_memory;core/state/stack;core/state/stack/stack_clear;core/state/stack/stack_mutation;core/state/stack/stack_register_commands;core/state/stack/stack_result	port	symbol
saveRestoreBackup	core/persist/calc_state_backup;core/persist/calc_state_io	port	symbol
saveRestoreCalcState	abi/complex_text;core/persist/calc_state;core/persist/calc_state_entrypoints;core/persist/calc_state_io_flow;core/persist/calc_state_load;core/persist/calc_state_register_codec;core/persist/calc_state_restore;core/persist/calc_state_save;core/persist/calc_state_text;shell/matrix_editor/matrix_lifecycle	port	symbol
saveRestorePrograms	core/program/program_serialization	port	symbol
screen	abi/host;core/input/keyboard_state_runtime;shell/display/screen;shell/display/screen_snap	port	symbol
softmenus	frontier;shell/display/softmenus/softmenus	port	symbol
solver/differentiate	core/analysis/differentiate;core/analysis/solve	port	symbol
solver/equation	core/analysis/equation	port	symbol
solver/graph	core/analysis/graph	port	symbol
solver/integrate	core/analysis/integrate;core/analysis/solve;shell/vbat_integrator	port	symbol
solver/isumprod	core/analysis/solve	port	symbol
solver/solve	core/analysis/solve;core/analysis/solve_owned	port	symbol
solver/sumprod	core/analysis/solve;core/analysis/sumprod	port	symbol
solver/tvm	core/analysis/solve;core/analysis/tvm	port	symbol
sort	shell/display/sort	port	symbol
stack	core/state/stack;core/state/stack/stack_descriptor;core/state/stack/stack_mutation;core/state/stack/stack_undo	port	symbol
stats	shell/stats	port	symbol
statusBar	shell/display/statusbar/status_bar	port	symbol
store	shell/store;shell/store_register_range	port	symbol
stringFuncs	shell/display/text/string_funcs	port	symbol
timer	shell/timer	port	symbol
ui/matrixEditor	frontier;shell/matrix_editor/matrix_editor;shell/matrix_editor/matrix_editor_entry;shell/matrix_editor/matrix_editor_refresh;shell/matrix_editor/matrix_lifecycle;shell/matrix_editor/matrix_wrap	port	symbol
ui/tam	shell/input/tam	port	symbol
ui/tone	shell/audio/tone	port	symbol
c47Extensions/keyboardTweak	core/input/keyboard_state_ringbuffer	port	comment
charString	core/text/glyph_export;core/text/glyph_text_lookup	port	comment
config	shell/input/adm_encoding	port	comment
display	core/text/glyph_font_search	port	comment
distributions/binomial	shell/distributions/binomial	port	comment
distributions/cauchy	shell/distributions/cauchy	port	comment
distributions/exponential	shell/distributions/exponential	port	comment
distributions/f	shell/distributions/f	port	comment
distributions/geometric	shell/distributions/geometric	port	comment
distributions/gev	shell/distributions/gev	port	comment
distributions/hyper	shell/distributions/hyper	port	comment
distributions/logistic	shell/distributions/logistic	port	comment
distributions/negBinom	shell/distributions/neg_binom	port	comment
distributions/pareto	shell/distributions/pareto	port	comment
distributions/poisson	shell/distributions/poisson	port	comment
distributions/t	shell/distributions/t	port	comment
distributions/uniform	shell/distributions/uniform	port	comment
distributions/weibull	shell/distributions/weibull	port	comment
integers	abi/shortint_arith	port	comment
printing/martelFonts	shell/generated/frontier_martel_fonts	port	comment
printing/print	shell/print/printer_text_width	port	comment
printing/printerFont8	shell/generated/frontier_printer_font8	port	comment
realType	shell/real_type	port	comment
registerValueConversions	abi/sci_format	port	comment
solver/isumprod	core/analysis/isumprod	port	comment
sort	abi/glyph_code	port	comment
stringFuncs	abi/c47_string	port	comment
timer	shell/timer_math	port	comment
