X	1E-2033
Y	"3634406353939609592939629406200845275480117221750055644943304173696885028551509169860809834093376627654428822184980323649072507012136148987919814459665772198030235197428327679287258467979057963611408880760210646432510110348924045054630579190493070758390663148186101741337264594202169579049567588606795188392369961297749323513992882471950500705347217160145479146015440643529043672798131655671756015082736993942763405088858650032298901082282614600861814557840498139408935766931002559448807952703866900176023633040449286726038514691494427489636316485065421804445441239983670587996770950161565356557045529971711605286290367727768529489573304851630106312295335218521171333090447516627496203286102887580156155563145489949148622465641901079669306639002274553441642782843123234406404663709179809223242727809863987154974958976521403020783174302274610879151606942995557867762738651144275592161010990575257242607808727125616542506447068485207517221826833470800837321904394481980106847184209746106320329480858035"
Z	-1.645241044978815453438956536965203E-2034
T	1E-999
A	"3141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559644622948954930381964428810975665933446128475648233786783165271201909145648566923460348610454326648213393607260249141273724587006606315588174881520920962829254091715364367892590360011330530548820466521384146951941511609433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420199"
B	-6.19047427989345141367211340638466E-1001
C	0.
D	0.
