`Code point`,`Rank 1`,`Rank 2`,`Unicode name`,`WP43 usage`,`Glyph`,`Replacement`,`Code point`
`U+0064`,109,110,`LATIN SMALL LETTER D`,`d`,`d`,`D`,`U+0044`
`U+0065`,121,122,`LATIN SMALL LETTER E`,`e`,`e`,`E`,`U+0045`
`U+0066`,146,147,`LATIN SMALL LETTER F`,`f`,`f`,`F`,`U+0046`
`U+0067`,152,153,`LATIN SMALL LETTER G`,`g`,`g`,`G`,`U+0047`
`U+0068`,160,161,`LATIN SMALL LETTER H`,`h`,`h`,`H`,`U+0048`
`U+0069`,169,170,`LATIN SMALL LETTER I`,`i`,`i`,`I`,`U+0049`
`U+006a`,191,192,`LATIN SMALL LETTER J`,`j`,`j`,`J`,`U+004a`
`U+006b`,197,198,`LATIN SMALL LETTER K`,`k`,`k`,`K`,`U+004b`
`U+006c`,203,204,`LATIN SMALL LETTER L`,`l`,`l`,`L`,`U+004c`
`U+006d`,215,216,`LATIN SMALL LETTER M`,`m`,`m`,`M`,`U+004d`
`U+006e`,221,222,`LATIN SMALL LETTER N`,`n`,`n`,`N`,`U+004e`
`U+006f`,234,235,`LATIN SMALL LETTER O`,`o`,`o`,`O`,`U+004f`
`U+0070`,259,260,`LATIN SMALL LETTER P`,`p`,`p`,`P`,`U+0050`
`U+0071`,265,266,`LATIN SMALL LETTER Q`,`q`,`q`,`Q`,`U+0051`
`U+0072`,272,273,`LATIN SMALL LETTER R`,`r`,`r`,`R`,`U+0052`
`U+0073`,283,284,`LATIN SMALL LETTER S`,`s`,`s`,`S`,`U+0053`
`U+0074`,296,297,`LATIN SMALL LETTER T`,`t`,`t`,`T`,`U+0054`
`U+0075`,307,308,`LATIN SMALL LETTER U`,`u`,`u`,`U`,`U+0055`
`U+0076`,331,332,`LATIN SMALL LETTER V`,`v`,`v`,`V`,`U+0056`
`U+0077`,337,338,`LATIN SMALL LETTER W`,`w`,`w`,`W`,`U+0057`
`U+0078`,345,346,`LATIN SMALL LETTER X`,`x`,`x`,`X`,`U+0058`
`U+0079`,355,356,`LATIN SMALL LETTER Y`,`y`,`y`,`Y`,`U+0059`
`U+007a`,369,370,`LATIN SMALL LETTER Z`,`z`,`z`,`Z`,`U+005a`
`U+007b`,459,459,`LEFT CURLY BRACKET`,`Left curly bracket`,`{`,`{`,`U+007b`
`U+007c`,533,533,`VERTICAL LINE`,`Pipe`,`|`,`|`,`U+007c`
`U+007d`,459,460,`RIGHT CURLY BRACKET`,`Right curly bracket`,`}`,`{`,`U+007b`
`U+007e`,511,511,`TILDE`,`Tilde`,`~`,`~`,`U+007e`
`U+00a1`,488,489,`INVERTED EXCLAMATION MARK`,`Inverted exclamation mark`,`¡`,`!`,`U+0021`
`U+00a2`,552,555,`CENT SIGN`,`Cent`,`¢`,`%`,`U+0025`
`U+00a3`,552,556,`POUND SIGN`,`Pound`,`£`,`%`,`U+0025`
`U+00a5`,552,557,`YEN SIGN`,`Yen`,`¥`,`%`,`U+0025`
`U+00a7`,552,558,`SECTION SIGN`,`Section`,`§`,`%`,`U+0025`
`U+00a9`,234,240,`COPYRIGHT SIGN`,`Overflow Carry`,`©`,`O`,`U+004f`
`U+00ab`,501,506,`LEFT-POINTING DOUBLE ANGLE QUOTATION MARK`,`Left French quotation mark`,`«`,,`U+0022`
`U+00ac`,526,526,`NOT SIGN`,`Not`,`¬`,`¬`,`U+00ac`
`U+00b0`,10,12,`DEGREE SIGN`,`Degree sign`,`°`,``,`U+0030`
`U+00b1`,465,468,`PLUS-MINUS SIGN`,`Plus-minus`,`±`,`+`,`U+002b`
`U+00b5`,413,415,`MICRO SIGN`,`mu`,`µ`,`Μ`,`U+039c`
`U+00b7`,474,475,`MIDDLE DOT`,`Middle dot`,`·`,`×`,`U+00d7`
`U+00bb`,501,507,`RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK`,`Right French quotation mark`,`»`,,`U+0022`
`U+00bc`,15,18,`VULGAR FRACTION ONE QUARTER`,`Fraction 1/4`,`¼`,`1`,`U+0031`
`U+00bd`,15,17,`VULGAR FRACTION ONE HALF`,`Fraction 1/2`,`½`,`1`,`U+0031`
`U+00bf`,490,491,`INVERTED QUESTION MARK`,`Inverted question mark`,`¿`,`?`,`U+003f`
`U+00c0`,63,69,`LATIN CAPITAL LETTER A WITH GRAVE`,`A grave`,`À`,`A`,`U+0041`
`U+00c1`,63,71,`LATIN CAPITAL LETTER A WITH ACUTE`,`A accute`,`Á`,`A`,`U+0041`
`U+00c2`,63,73,`LATIN CAPITAL LETTER A WITH CIRCUMFLEX`,`A circumflex`,`Â`,`A`,`U+0041`
`U+00c3`,63,75,`LATIN CAPITAL LETTER A WITH TILDE`,`A tilde`,`Ã`,`A`,`U+0041`
`U+00c4`,63,77,`LATIN CAPITAL LETTER A WITH DIAERESIS`,`A diaresis`,`Ä`,`A`,`U+0041`
`U+00c5`,63,79,`LATIN CAPITAL LETTER A WITH RING ABOVE`,`A ring`,`Å`,`A`,`U+0041`
`U+00c6`,63,81,`LATIN CAPITAL LETTER AE`,`AE`,`Æ`,`A`,`U+0041`
`U+00c7`,95,101,`LATIN CAPITAL LETTER C WITH CEDILLA`,`C cedilla`,`Ç`,`C`,`U+0043`
`U+00c8`,121,127,`LATIN CAPITAL LETTER E WITH GRAVE`,`E grave`,`È`,`E`,`U+0045`
`U+00c9`,121,129,`LATIN CAPITAL LETTER E WITH ACUTE`,`E accute`,`É`,`E`,`U+0045`
`U+00ca`,121,131,`LATIN CAPITAL LETTER E WITH CIRCUMFLEX`,`E circumflex`,`Ê`,`E`,`U+0045`
`U+00cb`,121,133,`LATIN CAPITAL LETTER E WITH DIAERESIS`,`E diaresis`,`Ë`,`E`,`U+0045`
`U+00cc`,169,175,`LATIN CAPITAL LETTER I WITH GRAVE`,`I grave`,`Ì`,`I`,`U+0049`
`U+00cd`,169,177,`LATIN CAPITAL LETTER I WITH ACUTE`,`I accute`,`Í`,`I`,`U+0049`
`U+00ce`,169,179,`LATIN CAPITAL LETTER I WITH CIRCUMFLEX`,`I circumflex`,`Î`,`I`,`U+0049`
`U+00cf`,169,181,`LATIN CAPITAL LETTER I WITH DIAERESIS`,`I diaresis`,`Ï`,`I`,`U+0049`
`U+00d0`,109,115,`LATIN CAPITAL LETTER ETH`,`ETH`,`Ð`,`D`,`U+0044`
`U+00d1`,221,227,`LATIN CAPITAL LETTER N WITH TILDE`,`N tilde`,`Ñ`,`N`,`U+004E`
`U+00d2`,234,241,`LATIN CAPITAL LETTER O WITH GRAVE`,`O grave`,`Ò`,`O`,`U+004F`
`U+00d3`,234,243,`LATIN CAPITAL LETTER O WITH ACUTE`,`O accute`,`Ó`,`O`,`U+004F`
`U+00d4`,234,245,`LATIN CAPITAL LETTER O WITH CIRCUMFLEX`,`O circumflex`,`Ô`,`O`,`U+004F`
`U+00d5`,234,247,`LATIN CAPITAL LETTER O WITH TILDE`,`O tilde`,`Õ`,`O`,`U+004F`
`U+00d6`,234,249,`LATIN CAPITAL LETTER O WITH DIAERESIS`,`O diaresis`,`Ö`,`O`,`U+004F`
`U+00d7`,474,474,`MULTIPLICATION SIGN`,`Cross`,`×`,`×`,`U+00d7`
`U+00d8`,234,251,`LATIN CAPITAL LETTER O WITH STROKE`,`O stroke`,`Ø`,`O`,`U+004F`
`U+00d9`,307,313,`LATIN CAPITAL LETTER U WITH GRAVE`,`U grave`,`Ù`,`U`,`U+0055`
