`Code point`,`Rank 1`,`Rank 2`,`Unicode name`,`WP43 usage`,`Glyph`,`Replacement`,`Code point`
`U+0177`,355,364,`LATIN SMALL LETTER Y WITH CIRCUMFLEX`,`y circumflex`,`ŷ`,`Y`,`U+0059`
`U+0178`,355,365,`LATIN CAPITAL LETTER Y WITH DIAERESIS`,`Y diaresis`,`Ÿ`,`Y`,`U+0059`
`U+0179`,369,375,`LATIN CAPITAL LETTER Z WITH ACUTE`,`Z accute`,`Ź`,`Z`,`U+005a`
`U+017a`,369,376,`LATIN SMALL LETTER Z WITH ACUTE`,`z accute`,`ź`,`Z`,`U+005a`
`U+017b`,369,377,`LATIN CAPITAL LETTER Z WITH DOT ABOVE`,`Z dot`,`Ż`,`Z`,`U+005a`
`U+017c`,369,378,`LATIN SMALL LETTER Z WITH DOT ABOVE`,`z dot`,`ż`,`Z`,`U+005a`
`U+017d`,369,379,`LATIN CAPITAL LETTER Z WITH CARON`,`Zcaron`,`Ž`,`Z`,`U+005a`
`U+017e`,369,380,`LATIN SMALL LETTER Z WITH CARON`,`z caron`,`ž`,`Z`,`U+005a`
`U+0232`,355,368,`LATIN CAPITAL LETTER Y WITH MACRON`,`y under root`,`Ȳ`,`Y`,`U+0059`
`U+0233`,355,367,`LATIN SMALL LETTER Y WITH MACRON`,`y macron`,`ȳ`,`Y`,`U+0059`
`U+0378`,345,352,`not defined by unicode`,`x macron`,`͸`,`X`,`U+0058`
`U+0379`,345,351,`not defined by unicode`,`x circumflex`,`͹`,`X`,`U+0058`
`U+037f`,345,353,`GREEK CAPITAL LETTER YOT `,`x under root`,`Ϳ`,`X`,`U+0058`
`U+0390`,403,408,`GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS`,`iota dialytika tonos`,`ΐ`,`Ι`,`U+0399`
`U+0391`,382,382,`GREEK CAPITAL LETTER ALPHA`,`ALPHA`,`Α`,`Α`,`U+0391`
`U+0392`,386,386,`GREEK CAPITAL LETTER BETA`,`BETA`,`Β`,`Β`,`U+0392`
`U+0393`,388,388,`GREEK CAPITAL LETTER GAMMA`,`GAMMA`,`Γ`,`Γ`,`U+0393`
`U+0394`,390,390,`GREEK CAPITAL LETTER DELTA`,`DELTA`,`Δ`,`Δ`,`U+0394`
`U+0395`,393,393,`GREEK CAPITAL LETTER EPSILON`,`EPSILON`,`Ε`,`Ε`,`U+0395`
`U+0396`,396,396,`GREEK CAPITAL LETTER ZETA`,`ZETA`,`Ζ`,`Ζ`,`U+0396`
`U+0397`,398,398,`GREEK CAPITAL LETTER ETA`,`ETA`,`Η`,`Η`,`U+0397`
`U+0398`,401,401,`GREEK CAPITAL LETTER THETA`,`THETA`,`Θ`,`Θ`,`U+0398`
`U+0399`,403,403,`GREEK CAPITAL LETTER IOTA`,`IOTA`,`Ι`,`Ι`,`U+0399`
`U+039a`,409,409,`GREEK CAPITAL LETTER KAPPA`,`KAPPA`,`Κ`,`Κ`,`U+039a`
`U+039b`,411,411,`GREEK CAPITAL LETTER LAMDA`,`LAMDA`,`Λ`,`Λ`,`U+039b`
`U+039c`,413,413,`GREEK CAPITAL LETTER MU`,`MU`,`Μ`,`Μ`,`U+039c`
`U+039d`,417,417,`GREEK CAPITAL LETTER NU`,`NU`,`Ν`,`Ν`,`U+039d`
`U+039e`,419,419,`GREEK CAPITAL LETTER XI`,`XI`,`Ξ`,`Ξ`,`U+039e`
`U+039f`,421,421,`GREEK CAPITAL LETTER OMICRON`,`OMICRON`,`Ο`,`Ο`,`U+039f`
`U+03a0`,424,424,`GREEK CAPITAL LETTER PI`,`PI`,`Π`,`Π`,`U+03a0`
`U+03a1`,427,427,`GREEK CAPITAL LETTER RHO`,`RHO`,`Ρ`,`Ρ`,`U+03a1`
`U+03a3`,429,429,`GREEK CAPITAL LETTER SIGMA`,`SIGMA`,`Σ`,`Σ`,`U+03a3`
`U+03a4`,432,432,`GREEK CAPITAL LETTER TAU`,`TAU`,`Τ`,`Τ`,`U+03a4`
`U+03a5`,434,434,`GREEK CAPITAL LETTER UPSILON`,`UPSILON`,`Υ`,`Υ`,`U+03a5`
`U+03a6`,440,440,`GREEK CAPITAL LETTER PHI`,`PHI`,`Φ`,`Φ`,`U+03a6`
`U+03a7`,442,442,`GREEK CAPITAL LETTER CHI`,`CHI`,`Χ`,`Χ`,`U+03a7`
`U+03a8`,444,444,`GREEK CAPITAL LETTER PSI`,`PSI`,`Ψ`,`Ψ`,`U+03a8`
`U+03a9`,446,446,`GREEK CAPITAL LETTER OMEGA`,`OMEGA`,`Ω`,`Ω`,`U+03a9`
`U+03aa`,403,406,`GREEK CAPITAL LETTER IOTA WITH DIALYTIKA`,`IOTA dialytika`,`Ϊ`,`Ι`,`U+0399`
`U+03ab`,434,437,`GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA`,`UPSILON dialytika`,`Ϋ`,`Υ`,`U+03a5`
`U+03ac`,382,385,`GREEK SMALL LETTER ALPHA WITH TONOS`,`alpha tonos`,`ά`,`Α`,`U+0391`
`U+03ad`,393,395,`GREEK SMALL LETTER EPSILON WITH TONOS`,`epsilon tonos`,`έ`,`Ε`,`U+0395`
`U+03ae`,398,400,`GREEK SMALL LETTER ETA WITH TONOS`,`eta tonos`,`ή`,`Η`,`U+0397`
`U+03af`,403,405,`GREEK SMALL LETTER IOTA WITH TONOS`,`iota tonos`,`ί`,`Ι`,`U+0399`
`U+03b0`,434,439,`GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS`,`upsilon dialytika tonos`,`ΰ`,`Υ`,`U+03a5`
`U+03b1`,382,383,`GREEK SMALL LETTER ALPHA`,`alpha`,`α`,`Α`,`U+0391`
`U+03b2`,386,387,`GREEK SMALL LETTER BETA`,`beta`,`β`,`Β`,`U+0392`
`U+03b3`,388,389,`GREEK SMALL LETTER GAMMA`,`gamma`,`γ`,`Γ`,`U+0393`
`U+03b4`,390,391,`GREEK SMALL LETTER DELTA`,`delta`,`δ`,`Δ`,`U+0394`
`U+03b5`,393,394,`GREEK SMALL LETTER EPSILON`,`epsilon`,`ε`,`Ε`,`U+0395`
`U+03b6`,396,397,`GREEK SMALL LETTER ZETA`,`zeta`,`ζ`,`Ζ`,`U+0396`
`U+03b7`,398,399,`GREEK SMALL LETTER ETA`,`eta`,`η`,`Η`,`U+0397`
`U+03b8`,401,402,`GREEK SMALL LETTER THETA`,`theta`,`θ`,`Θ`,`U+0398`
`U+03b9`,403,404,`GREEK SMALL LETTER IOTA`,`iota`,`ι`,`Ι`,`U+0399`
`U+03ba`,409,410,`GREEK SMALL LETTER KAPPA`,`kappa`,`κ`,`Κ`,`U+039a`
`U+03bb`,411,412,`GREEK SMALL LETTER LAMDA`,`lamda`,`λ`,`Λ`,`U+039b`
`U+03bc`,413,414,`GREEK SMALL LETTER MU`,`mu`,`μ`,`Μ`,`U+039c`
`U+03bd`,417,418,`GREEK SMALL LETTER NU`,`nu`,`ν`,`Ν`,`U+039d`
`U+03be`,419,420,`GREEK SMALL LETTER XI`,`xi`,`ξ`,`Ξ`,`U+039e`
`U+03bf`,421,422,`GREEK SMALL LETTER OMICRON`,`omicron`,`ο`,`Ο`,`U+039f`
`U+03c0`,424,426,`GREEK SMALL LETTER PI`,`pi`,`π`,`Π`,`U+03a0`
`U+03c1`,427,428,`GREEK SMALL LETTER RHO`,`rho`,`ρ`,`Ρ`,`U+03a1`
`U+03c2`,429,431,`GREEK SMALL LETTER FINAL SIGMA`,`Final sigma`,`ς`,`Σ`,`U+03a3`
`U+03c3`,429,430,`GREEK SMALL LETTER SIGMA`,`sigma`,`σ`,`Σ`,`U+03a3`
`U+03c4`,432,433,`GREEK SMALL LETTER TAU`,`tau`,`τ`,`Τ`,`U+03a4`
`U+03c5`,434,435,`GREEK SMALL LETTER UPSILON`,`upsilon`,`υ`,`Υ`,`U+03a5`
`U+03c6`,440,441,`GREEK SMALL LETTER PHI`,`phi`,`φ`,`Φ`,`U+03a6`
`U+03c7`,442,443,`GREEK SMALL LETTER CHI`,`chi`,`χ`,`Χ`,`U+03a7`
`U+03c8`,444,445,`GREEK SMALL LETTER PSI`,`psi`,`ψ`,`Ψ`,`U+03a8`
`U+03c9`,446,447,`GREEK SMALL LETTER OMEGA`,`omega`,`ω`,`Ω`,`U+03a9`
`U+03ca`,403,407,`GREEK SMALL LETTER IOTA WITH DIALYTIKA`,`iota dialytika`,`ϊ`,`Ι`,`U+0399`
`U+03cb`,434,438,`GREEK SMALL LETTER UPSILON WITH DIALYTIKA`,`upsilon dialytika`,`ϋ`,`Υ`,`U+03a5`
`U+03cc`,421,423,`GREEK SMALL LETTER OMICRON WITH TONOS`,`omicron tonos`,`ό`,`Ο`,`U+039f`
`U+03cd`,434,436,`GREEK SMALL LETTER UPSILON WITH TONOS`,`upsilon tonos`,`ύ`,`Υ`,`U+03a5`
`U+03ce`,446,448,`GREEK SMALL LETTER OMEGA WITH TONOS`,`omega tonos`,`ώ`,`Ω`,`U+03a9`
`U+2003`,1,2,`EM SPACE`,`EM space`,` `,` `,`U+0020`
`U+2004`,1,3,`THREE-PER-EM SPACE`,`3 per EM space`,` `,` `,`U+0020`
`U+2005`,1,4,`FOUR-PER-EM SPACE`,`4 per EM space`,` `,` `,`U+0020`
`U+2006`,1,5,`SIX-PER-EM SPACE`,`6 per EM space`,` `,` `,`U+0020`
`U+2007`,1,6,`FIGURE SPACE`,`Figure space`,` `,` `,`U+0020`
`U+2008`,1,7,`PUNCTUATION SPACE`,`Punctuation space`,` `,` `,`U+0020`
`U+200a`,1,8,`HAIR SPACE`,`Hair space`,` `,` `,`U+0020`
`U+2018`,496,497,`LEFT SINGLE QUOTATION MARK`,`Left single quatation mark`,`‘`,`'`,`U+0027`
`U+2019`,496,498,`RIGHT SINGLE QUOTATION MARK`,`Right single quatation mark`,`’`,`'`,`U+0027`
`U+201a`,496,499,`SINGLE LOW-9 QUOTATION MARK`,`Single low-9 quotation mark`,`‚`,`'`,`U+0027`
`U+201b`,496,500,`SINGLE HIGH-REVERSED-9 QUOTATION MARK`,`Single high-reversed-9 quotation mark`,`‛`,`'`,`U+0027`
`U+201c`,501,502,`LEFT DOUBLE QUOTATION MARK`,`Left double quatation mark`,`“`,,`U+0022`
`U+201d`,501,503,`RIGHT DOUBLE QUOTATION MARK`,`Right double quatation mark`,`”`,,`U+0022`
`U+201e`,501,504,`DOUBLE LOW-9 QUOTATION MARK`,`Double low-9 quotation mark`,`„`,,`U+0022`
`U+201f`,501,505,`DOUBLE HIGH-REVERSED-9 QUOTATION MARK`,`Double high-reversed-9 quotation mark`,`‟`,,`U+0022`
`U+2026`,485,487,`HORIZONTAL ELLIPSIS`,`Ellipsis`,`…`,`.`,`U+002e`
`U+2027`,15,16,`HYPHENATION POINT `,`Binary 1`,`‧`,`1`,`U+0031`
`U+2072`,469,471,`<reserved> (superscript 2 - 00B2)`,`Superscript -1`,`⁲`,`-`,`U+002d`
`U+2073`,121,145,`<reserved> (superscript 3 - 00B3)`,`Subscript E`,`⁳`,`E`,`U+0045`
`U+2080`,10,14,`SUBSCRIPT ZERO`,`Subscript 0`,`₀`,``,`U+0030`
`U+2081`,15,20,`SUBSCRIPT ONE`,`Subscript 1`,`₁`,`1`,`U+0031`
`U+2082`,22,24,`SUBSCRIPT TWO`,`Subscript 2`,`₂`,`2`,`U+0032`
`U+2083`,26,28,`SUBSCRIPT THREE`,`Subscript 3`,`₃`,`3`,`U+0033`
`U+2084`,31,33,`SUBSCRIPT FOUR`,`Subscript 4`,`₄`,`4`,`U+0034`
`U+2085`,35,37,`SUBSCRIPT FIVE`,`Subscript 5`,`₅`,`5`,`U+0035`
`U+2086`,39,41,`SUBSCRIPT SIX`,`Subscript 6`,`₆`,`6`,`U+0036`
`U+2087`,43,45,`SUBSCRIPT SEVEN`,`Subscript 7`,`₇`,`7`,`U+0037`
`U+2088`,47,49,`SUBSCRIPT EIGHT`,`Subscript 8`,`₈`,`8`,`U+0038`
`U+2089`,51,53,`SUBSCRIPT NINE`,`Subscript 9`,`₉`,`9`,`U+0039`
`U+208a`,465,467,`SUBSCRIPT PLUS SIGN`,`Subscript +`,`₊`,`+`,`U+002b`
`U+208b`,469,472,`SUBSCRIPT MINUS`,`Subscript -`,`₋`,`-`,`U+002d`
`U+208f`,474,479,`not defined by unicode`,`Superscript *`,`₏`,`×`,`U+00d7`
`U+209e`,561,562,`not defined by unicode`,`Superscript infinity`,`₞`,`∞`,`U+221e`
`U+209f`,561,563,`not defined by unicode`,`Subscript infinity`,`₟`,`∞`,`U+221e`
`U+20ac`,552,554,`EURO SIGN`,`Euro`,`€`,`%`,`U+0025`
`U+2100`,591,593,`ACCOUNT OF`,`1 on B`,`℀`,`1`,`U+2100`
`U+2102`,95,107,`DOUBLE-STRUCK CAPITAL C`,`Complex C`,`ℂ`,`C`,`U+0043`
`U+210e`,160,162,`PLANCK CONSTANT`,`Planck`,`ℎ`,`H`,`U+0048`
`U+210f`,160,168,`PLANCK CONSTANT OVER TWO PI`,`Planck / 2pi`,`ℏ`,`H`,`U+0048`
`U+2110`,169,191,`DOUBLE-STRUCK CAPITAL I`,`Irrational I`,`"ℐ"`,`I`,`U+0049`
`U+2115`,221,233,`DOUBLE-STRUCK CAPITAL N`,`Natural N`,`ℕ`,`N`,`U+004e`
`U+211a`,265,271,`DOUBLE-STRUCK CAPITAL Q`,`Rational Q`,`ℚ`,`Q`,`U+0051`
`U+211d`,272,282,`DOUBLE-STRUCK CAPITAL R`,`Real R`,`ℝ`,`R`,`U+0052`
`U+2124`,369,381,`DOUBLE-STRUCK CAPITAL Z`,`Integer Z`,`ℤ`,`Z`,`U+005a`
`U+2160`,10,13,`ROMAN NUMERAL ONE`,`Superscript 0`,`Ⅰ`,``,`U+0030`
`U+2161`,15,19,`ROMAN NUMERAL TWO`,`Superscript 1`,`Ⅱ`,`1`,`U+0031`
`U+2162`,22,23,`ROMAN NUMERAL THREE`,`Superscript 2`,`Ⅲ`,`2`,`U+0032`
`U+2163`,26,27,`ROMAN NUMERAL FOUR`,`Superscript 3`,`Ⅳ`,`3`,`U+0033`
`U+2164`,31,32,`ROMAN NUMERAL FIVE`,`Superscript 4`,`Ⅴ`,`4`,`U+0034`
`U+2165`,35,36,`ROMAN NUMERAL SIX`,`Superscript 5`,`Ⅵ`,`5`,`U+0035`
`U+2166`,39,40,`ROMAN NUMERAL SEVEN`,`Superscript 6`,`Ⅶ`,`6`,`U+0036`
`U+2167`,43,44,`ROMAN NUMERAL EIGHT`,`Superscript 7`,`Ⅷ`,`7`,`U+0037`
`U+2168`,47,48,`ROMAN NUMERAL NINE`,`Superscript 8`,`Ⅸ`,`8`,`U+0038`
`U+2169`,51,52,`ROMAN NUMERAL TEN`,`Superscript 9`,`Ⅹ`,`9`,`U+0039`
`U+216a`,465,466,`SUPERSCRIPT PLUS SIGN`,`Superscript +`,`Ⅺ`,`+`,`U+002b`
`U+216b`,469,470,`SUPERSCRIPT MINUS`,`Superscript -`,`Ⅻ`,`-`,`U+002d`
`U+2190`,514,514,`LEFTWARDS ARROW`,`Left arrow`,`←`,`←`,`U+2190`
`U+2191`,516,516,`UPWARDS ARROW`,`Up arrow`,`↑`,`↑`,`U+2191`
`U+2192`,512,512,`RIGHTWARDS ARROW`,`Right arrow`,`→`,`→`,`U+2192`
`U+2193`,520,520,`DOWNWARDS ARROW`,`Down arrow`,`↓`,`↓`,`U+2193`
`U+2194`,520,520,`LEFT RIGHT ARROW`,`Left right arrow`,`↔`,`↔`,`U+2194`
`U+21E0`,514,514,`LEFTWARDS ARROW`,`Left arrow`,`⇠`,`⇠`,`U+21E0`
`U+21E1`,516,516,`UPWARDS ARROW`,`Up arrow`,`⇡`,`⇡`,`U+21E1`
`U+21E2`,512,512,`RIGHTWARDS ARROW`,`Right arrow`,`⇢`,`⇢`,`U+21E2`
`U+21E3`,515,520,`DOWNWARDS ARROW`,`Down arrow`,`⇣`,`⇣`,`U+21E3`
`U+2195`,520,524,`UP DOWN ARROW`,`Up-down arrof`,`↕`,`↕`,`U+2195`
`U+21c0`,512,513,`RIGHTWARDS HARPOON WITH BARB UPWARDS`,`Short right arrow`,`⇀`,`→`,`U+2192`
`U+21c4`,520,523,`RIGHTWARDS ARROW OVER LEFTWARDS ARROW`,`Left-right arrow`,`⇄`,`⇄`,`U+21c4`
`U+21c9`,516,518,`RIGHTWARDS PAIRED ARROWS `,`BST`,`⇉`,`↑`,`U+2191`
`U+21cb`,520,522,`LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON `,`SST`,`⇋`,`↓`,`U+2193`
`U+21cc`,520,525,`RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON `,`List`,`⇌`,`⇌`,`U+21cc`
`U+21cd`,514,515,`LEFTWARDS DOUBLE ARROW WITH STROKE `,`Undo`,`⇍`,`←`,`U+2190`
`U+21e7`,516,517,`UP_HOLLOW_ARROW`,`Up hollow arrow`,`⇧`,`↑`,`U+2191`
`U+21e9`,520,521,`DOWN_HOLLOW_ARROW`,`Down hollow arrow`,`⇩`,`↓`,`U+2193`
`U+2200`,593,593,`FOR ALL`,`For all`,`∀`,`∀`,`U+2200`
`U+2201`,95,108,`COMPLEMENT`,`Complement`,`∁`,`C`,`U+0043`
`U+2202`,593,594,`PARTIAL DIFFERENTIAL`,`Partial differential`,`∂`,`∀`,`U+2200`
`U+2203`,593,595,`THERE EXISTS`,`There exists`,`∃`,`∀`,`U+2200`
`U+2204`,593,596,`THERE DOES NOT EXIST`,`There does not exists`,`∄`,`∀`,`U+2200`
`U+2205`,593,597,`EMPTY SET`,`Empty set`,`∅`,`∀`,`U+2200`
`U+2206`,593,598,`INCREMENT`,`Increment`,`∆`,`∀`,`U+2200`
`U+2207`,593,599,`NABLA`,`Nabla`,`∇`,`∀`,`U+2200`
`U+2208`,593,600,`ELEMENT OF`,`Element of`,`∈`,`∀`,`U+2200`
`U+2209`,593,601,`NOT AN ELEMENT OF`,`Not an element of`,`∉`,`∀`,`U+2200`
`U+220b`,593,602,`CONTAINS AS MEMBER`,`Contains as member`,`∋`,`∀`,`U+2200`
`U+220c`,593,603,`DOES NOT CONTAIN AS MEMBER`,`Does not contain as member`,`∌`,`∀`,`U+2200`
`U+220e`,10,11,`END OF PROOF`,`Binary 0`,`∎`,``,`U+0030`
`U+220f`,424,425,`N-ARY PRODUCT`,`N-ary product`,`∏`,`Π`,`U+03a0`
`U+2211`,429,430,`N-ARY SUMMATION`,`N-ary summation`,`∑`,`Σ`,`U+03a3`
`U+2213`,469,473,`MINUS-OR-PLUS SIGN`,`Minus-plus`,`∓`,`-`,`U+002d`
`U+2218`,474,477,`RING OPERATOR`,`Ring`,`∘`,`×`,`U+00d7`
`U+2219`,474,476,`BULLET OPERATOR`,`Bullet`,`∙`,`×`,`U+00d7`
`U+221a`,559,559,`SQUARE ROOT`,`Square root`,`√`,`√`,`U+221a`
`U+221b`,26,30,`CUBE ROOT`,`Cube root`,`∛`,`3`,`U+0033`
`U+221c`,345,354,`FOURTH ROOT`,`xth root`,`∜`,`X`,`U+0058`
`U+221d`,559,560,`PROPORTIONAL TO`,`Proportional to`,`∝`,`√`,`U+221a`
`U+221e`,561,561,`INFINITY`,`Infinity`,`∞`,`∞`,`U+221e`
`U+221f`,573,573,`RIGHT ANGLE`,`Right angle`,`∟`,`∟`,`U+221f`
`U+2220`,575,575,`ANGLE`,`Angle`,`∠`,`∠`,`U+2220`
`U+2221`,575,576,`MEASURED ANGLE`,`Measured angle`,`∡`,`∠`,`U+2220`
`U+2222`,575,577,`SPHERICAL ANGLE`,`Spherical angle`,`∢`,`∠`,`U+2220`
`U+2223`,533,534,`DIVIDES`,`Divides`,`∣`,`|`,`U+007c`
`U+2224`,533,535,`DOES NOT DIVIDE`,`Does not divide`,`∤`,`|`,`U+007c`
`U+2225`,533,536,`PARALLEL TO`,`Parallel to`,`∥`,`|`,`U+007c`
`U+2226`,533,537,`NOT PARALLEL TO`,`Not parallel to`,`∦`,`|`,`U+007c`
`U+2227`,527,527,`LOGICAL AND`,`And`,`∧`,`∧`,`U+2227`
`U+2228`,527,528,`LOGICAL OR`,`Or`,`∨`,`∧`,`U+2227`
`U+2229`,593,604,`INTERSECTION`,`Intersection`,`∩`,`∀`,`U+2200`
`U+222a`,593,605,`UNION`,`Union`,`∪`,`∀`,`U+2200`
`U+222b`,564,564,`INTEGRAL`,`Integral`,`∫`,`∫`,`U+222b`
`U+222c`,564,565,`DOUBLE INTEGRAL`,`Doublr integral`,`∬`,`∫`,`U+222b`
`U+222d`,564,566,`TRIPLE INTEGRAL`,`Triple integral`,`∭`,`∫`,`U+222b`
`U+222e`,564,567,`CONTOUR INTEGRAL`,`Contour integral`,`∮`,`∫`,`U+222b`
`U+222f`,564,568,`SURFACE INTEGRAL`,`Surface integral`,`∯`,`∫`,`U+222b`
`U+2230`,564,569,`VOLUME INTEGRAL`,`Volume integral`,`∰`,`∫`,`U+222b`
`U+2236`,492,493,`RATIO`,`Ratio`,`∶`,`:`,`U+003a`
`U+2243`,538,544,`ASYMPTOTICALLY EQUAL TO`,`Asymptotically equal to`,`≃`,`≪`,`U+226a`
`U+2248`,538,545,`ALMOST EQUAL TO`,`Almost equal`,`≈`,`≪`,`U+226a`
`U+2254`,538,542,`COLON EQUALS`,`Colon equals`,`≔`,`≪`,`U+226a`
`U+2258`,538,546,`CORRESPONDS TO`,`Corresponds to`,`≘`,`≪`,`U+226a`
`U+2259`,538,547,`ESTIMATES`,`Estimates`,`≙`,`≪`,`U+226a`
`U+2260`,538,548,`NOT EQUAL TO`,`Not equel to`,`≠`,`≪`,`U+226a`
`U+2261`,538,541,`IDENTICAL TO`,`Identical to`,`≡`,`≪`,`U+226a`
`U+2264`,538,540,`LESS-THAN OR EQUAL TO`,`Less or equal than`,`≤`,`≪`,`U+226a`
`U+2265`,538,549,`GREATER-THAN OR EQUAL TO`,`Greater or equal than`,`≥`,`≪`,`U+226a`
`U+226a`,538,538,`MUCH LESS-THAN`,`Much less than`,`≪`,`≪`,`U+226a`
`U+226b`,538,551,`MUCH GREATER-THAN`,`Much greater than`,`≫`,`≪`,`U+226a`
`U+2282`,582,590,`SUBSET OF`,`Subset of`,`⊂`,`⊂`,`U+2200`
`U+2284`,582,590,`NOT A SUBSET OF`,`Not a subset of`,`⊄`,`⊄`,`U+2200`
`U+2295`,572,572,`CIRCLED PLUS`,`Subscript earth`,`⊕`,`⊕`,`U+2295`
`U+2296`,382,384,`CIRCLED MINUS`,`Subscript alpha`,`⊖`,`Α`,`U+0391`
`U+2297`,390,392,`CIRCLED TIMES`,`Subscript delta`,`⊗`,`Δ`,`U+0394`
`U+2298`,413,416,`CIRCLED SLASH`,`Subscript mu`,`⊘`,`Μ`,`U+039c`
`U+2299`,570,570,`CIRCLED DOT OPERATOR`,`Sun`,`⊙`,`⊙`,`U+2299`
`U+229a`,570,571,`CIRCLED RING OPERATOR`,`Subscript sun`,`⊚`,`⊙`,`U+2299`
`U+22a4`,296,299,`DOWN TACK`,`Transposed`,`⊤`,`T`,`U+0054`
`U+22a5`,573,574,`UP TACK`,`Perpendicular`,`⊥`,`∟`,`U+221f`
`U+22bb`,527,529,`XOR`,`Xor`,`⊻`,`∧`,`U+2227`
`U+22bc`,527,530,`NAND`,`Nand`,`⊼`,`∧`,`U+2227`
`U+22bd`,527,531,`NOR`,`Nor`,`⊽`,`∧`,`U+2227`
`U+2308`,578,578,`LEFT CEILING`,`Left ceiling`,`⌈`,`⌈`,`U+2308`
`U+2309`,578,579,`RIGHT CEILING`,`Right ceiling`,`⌉`,`⌈`,`U+2308`
`U+230a`,580,580,`LEFT FLOOR`,`Left floor`,`⌊`,`⌊`,`U+230a`
`U+230b`,580,581,`RIGHT FLOOR`,`Right floor`,`⌋`,`⌊`,`U+230a`
`U+231a`,582,584,`WATCH`,`Watch`,`⌚`,`⎙`,`U+2399`
`U+231b`,582,583,`HOURGLASS`,`Hourglass`,`⌛`,`⎙`,`U+2399`
`U+2393`,582,590,`DIRECT CURRENT FORM 2`,`d.c. current`,`⎓`,`⎓`,`U+002d`
`U+2399`,582,582,`PRINT SCREEN SYMBOL`,`Printer`,`⎙`,`⎙`,`U+2399`
`U+23a1`,451,452,`LEFT SQUARE BRACKET UPPER CORNER`,`Matrix upper left`,`⎡`,`[`,`U+005b`
`U+23a2`,451,453,`LEFT SQUARE BRACKET EXTENSION`,`Matrix middle left`,`⎢`,`[`,`U+005b`
`U+23a3`,451,454,`LEFT SQUARE BRACKET LOWER CORNER`,`Matrix lower left`,`⎣`,`[`,`U+005b`
`U+23a4`,451,456,`RIGHT SQUARE BRACKET UPPER CORNER`,`Matrix upper right`,`⎤`,`[`,`U+005b`
`U+23a5`,451,457,`RIGHT SQUARE BRACKET EXTENSION`,`Matrix middle right`,`⎥`,`[`,`U+005b`
`U+23a6`,451,458,`RIGHT SQUARE BRACKET LOWER CORNER`,`Matrix lower right`,`⎦`,`[`,`U+005b`
`U+23e6`,582,590,`AC CURRENT`,`a.c. current`,`⏦`,`⏦`,`U+007e`
`U+23F1`,582,585,`STOPWATCH`,`Stopwatch`,`⏱`,`⎙`,`U+2399`
`U+2421`,606,606,`SYMBOL FOR DELETE`,`Oblique 1`,`␡`,`␡`,`U+2421`
`U+2422`,606,607,`BLANK SYMBOL`,`Oblique 2`,`␢`,`␡`,`U+2421`
`U+2423`,1,9,`OPEN BOX`,`Space symbol`,`␣`,` `,`U+0020`
`U+2425`,606,608,`SYMBOL FOR DELETE FORM TWO`,`Oblique 3`,`␥`,`␡`,`U+2421`
`U+2426`,606,609,`SYMBOL FOR SUBSTITUTE FORM TWO`,`Oblique 4`,`␦`,`␡`,`U+2421`
`U+2427`,509,510,`not defined by unicode`,`Cursor`,`␧`,`_`,`U+005f`
`U+2428`,485,486,`not defined by unicode`,`DP decimal separator`,`␨`,`.`,`U+002e`
`U+2429`,483,484,`not defined by unicode`,`DP decimal separator`,`␩`,"`,`",`U+002c`
`U+242a`,582,586,`not defined by unicode`,`Battery`,`␪`,`⎙`,`U+2399`
`U+242b`,516,519,`not defined by unicode`,`Pgm begin`,`␫`,`↑`,`U+2191`
`U+242c`,582,587,`not defined by unicode`,`User mode`,`␬`,`⎙`,`U+2399`
`U+242d`,591,591,`not defined by unicode`,`UK`,`␭`,`␭`,`U+242d`
`U+242e`,591,592,`not defined by unicode`,`US`,`␮`,`␭`,`U+242d`
`U+242f`,582,588,`not defined by unicode`,`Negative exclamation mark`,`␯`,`⎙`,`U+2399`
`U+2430`,461,461,,`Gauss left black`,`␰`,`␰`,`U+2430`
`U+2431`,461,462,,`Gauss right white`,`␱`,`␰`,`U+2430`
`U+2432`,461,463,,`Gauss left white`,`␲`,`␰`,`U+2430`
`U+2433`,461,464,,`Gauss right black`,`␳`,`␰`,`U+2430`
`U+2434`,582,589,,`USB symbol`,`␴`,`⎙`,`U+2399`
`U+2460`,15,21,`CIRCLED DIGIT ONE `,`Base 1`,`①`,`1`,`U+0031`
`U+2461`,22,25,`CIRCLED DIGIT TWO`,`Base 2`,`②`,`2`,`U+0032`
`U+2462`,26,29,`CIRCLED DIGIT THREE`,`Base 3`,`③`,`3`,`U+0033`
`U+2463`,31,34,`CIRCLED DIGIT FOUR`,`Base 4`,`④`,`4`,`U+0034`
`U+2464`,35,38,`CIRCLED DIGIT FIVE`,`Base 5`,`⑤`,`5`,`U+0035`
`U+2465`,39,42,`CIRCLED DIGIT SIX`,`Base 6`,`⑥`,`6`,`U+0036`
`U+2466`,43,46,`CIRCLED DIGIT SEVEN`,`Base 7`,`⑦`,`7`,`U+0037`
`U+2467`,47,50,`CIRCLED DIGIT EIGHT`,`Base 8`,`⑧`,`8`,`U+0038`
